44. Bos taurus isolate L1 Dominette 01449 registration number 42190680 breed Hereford chromosome 11, ARS-UCD1.2, whole genome shotgun sequence
52. Bos taurus isolate L1 Dominette 01449 registration number 42190680 breed Hereford chromosome 7, ARS-UCD1.2, whole genome shotgun sequence
76. Bos taurus isolate L1 Dominette 01449 registration number 42190680 breed Hereford chromosome 5, ARS-UCD1.2, whole genome shotgun sequence
161. Bos taurus isolate L1 Dominette 01449 registration number 42190680 breed Hereford chromosome 22, ARS-UCD1.2, whole genome shotgun sequence
219. Bos taurus interleukin 6 (IL6), mRNA
3665. Bos taurus isolate Rn8-B interleukin 5 (IL5) gene, complete cds
3666. Bos taurus isolate Rn8-A interleukin 5 (IL5) gene, complete cds
3667. Bos taurus isolate GB4-B interleukin 5 (IL5) gene, complete cds
3668. Bos taurus isolate GB4-A interleukin 5 (IL5) gene, complete cds
3675. Bos taurus isolate NG49-B interleukin 5 (IL5) gene, complete cds
3676. Bos taurus isolate NG49-A interleukin 5 (IL5) gene, complete cds
3677. Bos taurus isolate Rn10-B interleukin 5 (IL5) gene, complete cds
3678. Bos taurus isolate Rn10-A interleukin 5 (IL5) gene, complete cds
3679. Bos taurus isolate GB13-B interleukin 5 (IL5) gene, complete cds
3680. Bos taurus isolate GB13-A interleukin 5 (IL5) gene, complete cds
3681. Bos taurus interleukin 22 (IL-22) gene, complete cds
3686. Bos taurus clone IL2SK4B interleukin 2 (IL2) gene, complete cds
3687. Bos taurus clone IL2SK4A interleukin 2 (IL2) gene, complete cds
3688. Bos taurus clone IL2SK2B interleukin 2 (IL2) gene, complete cds
3689. Bos taurus clone IL2SK2A interleukin 2 (IL2) gene, complete cds
3690. Bos taurus clone IL2Rn8B interleukin 2 (IL2) gene, complete cds
3691. Bos taurus clone IL2Rn8A interleukin 2 (IL2) gene, complete cds
3692. Bos taurus clone IL2Rn10B interleukin 2 (IL2) gene, complete cds
3693. Bos taurus clone IL2Rn10A interleukin 2 (IL2) gene, complete cds
3694. Bos taurus clone IL2NR31B interleukin 2 (IL2) gene, complete cds
3695. Bos taurus clone IL2NR31A interleukin 2 (IL2) gene, complete cds
3696. Bos taurus clone IL2NR12B interleukin 2 (IL2) gene, complete cds
3697. Bos taurus clone IL2NR12A interleukin 2 (IL2) gene, complete cds
3698. Bos taurus clone IL2Mrt1B interleukin 2 (IL2) gene, complete cds
3699. Bos taurus clone IL2Mrt1A interleukin 2 (IL2) gene, complete cds
3700. Bos taurus clone IL2Mrt17B interleukin 2 (IL2) gene, complete cds
3701. Bos taurus clone IL2Mrt17A interleukin 2 (IL2) gene, complete cds
3702. Bos taurus clone IL2HL31B interleukin 2 (IL2) gene, complete cds
3703. Bos taurus clone IL2HL31A interleukin 2 (IL2) gene, complete cds
3704. Bos taurus clone IL2HL20B interleukin 2 (IL2) gene, complete cds
3705. Bos taurus clone IL2HL20A interleukin 2 (IL2) gene, complete cds
3706. Bos taurus clone IL2GB4B interleukin 2 (IL2) gene, complete cds
3707. Bos taurus clone IL2GB4A interleukin 2 (IL2) gene, complete cds
3708. Bos taurus clone IL2GB13B interleukin 2 (IL2) gene, complete cds
3709. Bos taurus clone IL2GB13A interleukin 2 (IL2) gene, complete cds
3710. Bos taurus clone IL2Fr7B interleukin 2 (IL2) gene, complete cds
3711. Bos taurus clone IL2Fr7A interleukin 2 (IL2) gene, complete cds
3712. Bos taurus clone IL2Fr6B interleukin 2 (IL2) gene, complete cds
3713. Bos taurus clone IL2Fr6A interleukin 2 (IL2) gene, complete cds
3714. Bos taurus clone IL2Aln7B interleukin 2 (IL2) gene, complete cds
3715. Bos taurus clone IL2Aln7A interleukin 2 (IL2) gene, complete cds
3716. Bos taurus clone IL2Aln27B interleukin 2 (IL2) gene, complete cds
3717. Bos taurus clone IL2Aln27A interleukin 2 (IL2) gene, complete cds
3718. Bos taurus clone IL2AB2B interleukin 2 (IL2) gene, complete cds
3719. Bos taurus clone IL2AB2A interleukin 2 (IL2) gene, complete cds
3720. Bos taurus clone IL2AB14B interleukin 2 (IL2) gene, complete cds
3721. Bos taurus clone IL2AB14A interleukin 2 (IL2) gene, complete cds
3722. Bos taurus clone IL2AA5B interleukin 2 (IL2) gene, complete cds
3723. Bos taurus clone IL2AA5A interleukin 2 (IL2) gene, complete cds
3724. Bos taurus clone IL2AA4B interleukin 2 (IL2) gene, complete cds
3725. Bos taurus clone IL2AA4A interleukin 2 (IL2) gene, complete cds
3726. Bos taurus clone IL2S3221B interleukin 2 (IL2) gene, complete cds
3727. Bos taurus clone IL2S3221A interleukin 2 (IL2) gene, complete cds
3728. Bos taurus clone IL2S3217B interleukin 2 (IL2) gene, complete cds
3729. Bos taurus clone IL2S3217A interleukin 2 (IL2) gene, complete cds
3730. Bos taurus clone IL2S3215B interleukin 2 (IL2) gene, complete cds
3731. Bos taurus clone IL2S3215A interleukin 2 (IL2) gene, complete cds
3732. Bos taurus clone IL2S3213B interleukin 2 (IL2) gene, complete cds
3733. Bos taurus clone IL2S3213A interleukin 2 (IL2) gene, complete cds
3734. Bos taurus clone IL2NG6B interleukin 2 (IL2) gene, complete cds
3735. Bos taurus clone IL2NG6A interleukin 2 (IL2) gene, complete cds
3736. Bos taurus clone IL2NG49B interleukin 2 (IL2) gene, complete cds
3737. Bos taurus clone IL2NG49A interleukin 2 (IL2) gene, complete cds
3738. Bos taurus clone IL2NG45B interleukin 2 (IL2) gene, complete cds
3739. Bos taurus clone IL2NG45A interleukin 2 (IL2) gene, complete cds
3740. Bos taurus clone IL2NG37B interleukin 2 (IL2) gene, complete cds
3741. Bos taurus clone IL2NG37A interleukin 2 (IL2) gene, complete cds
3742. Bos taurus clone IL2L38B interleukin 2 (IL2) gene, complete cds
3743. Bos taurus clone IL2L38A interleukin 2 (IL2) gene, complete cds
3744. Bos taurus clone IL2L19B interleukin 2 (IL2) gene, complete cds
3745. Bos taurus clone IL2L19A interleukin 2 (IL2) gene, complete cds
3746. Bos taurus clone IL2L17B interleukin 2 (IL2) gene, complete cds
3747. Bos taurus clone IL2L17A interleukin 2 (IL2) gene, complete cds
3800. Bos taurus interleukin 8 mRNA, complete cds
3943. Bos taurus interleukin 18 mRNA, complete cds
3960. Bos taurus partial Il-12 p35 gene for interleukin 12 polypeptide 35, exons 4-7
4719. Bos taurus interleukin 22 (IL22), mRNA
5500. Bos taurus interleukin 3 (colony-stimulating factor, multiple) (IL3), mRNA
5501. Bos taurus interleukin 7 (IL7), mRNA
5502. Bos taurus interleukin 13 (IL13), mRNA
5795. Bos taurus interleukin 21 (IL21), mRNA
5796. Bos taurus interleukin 5 (IL5), mRNA
6109. Bos taurus interleukin 1 receptor antagonist (IL1RN), mRNA
7104. Bos taurus interleukin 7 receptor (IL7R), mRNA
9022. PREDICTED: Bos indicus x Bos taurus interleukin enhancer binding factor 3 (ILF3), transcript variant X6, mRNA
9023. PREDICTED: Bos indicus x Bos taurus interleukin enhancer binding factor 3 (ILF3), transcript variant X5, mRNA
9024. PREDICTED: Bos indicus x Bos taurus interleukin enhancer binding factor 3 (ILF3), transcript variant X4, mRNA
9025. PREDICTED: Bos indicus x Bos taurus interleukin enhancer binding factor 3 (ILF3), transcript variant X3, mRNA
9026. PREDICTED: Bos indicus x Bos taurus interleukin enhancer binding factor 3 (ILF3), transcript variant X2, mRNA
9027. PREDICTED: Bos indicus x Bos taurus interleukin enhancer binding factor 3 (ILF3), transcript variant X1, mRNA
9028. PREDICTED: Bos indicus x Bos taurus interleukin enhancer binding factor 2 (ILF2), mRNA
9306. PREDICTED: Bos taurus interleukin 10 receptor subunit beta (IL10RB), transcript variant X3, misc_RNA
9307. PREDICTED: Bos taurus interleukin 1 receptor accessory protein (IL1RAP), transcript variant X6, misc_RNA
10473. Bos taurus interleukin 15 (IL15) mRNA, partial cds
10492. Bos taurus interleukin 23 (IL-23) mRNA, partial cds
10496. Bos taurus transcription factor 8 (represses interleukin 2 expression) (TCF8), mRNA, incomplete 5' and 3' cds
10765. Bos taurus interleukin enhancer binding factor 3, 90kDa (ILF3), mRNA, incomplete 5' and 3' cds
10794. Bos indicus x Bos taurus interleukin 8 (IL8) mRNA, partial cds
10797. Bos indicus x Bos taurus interleukin 1 beta (IL1B) mRNA, partial cds
10800. Bos indicus x Bos taurus interleukin 12B (IL12B) mRNA, partial cds
10803. Bos indicus x Bos taurus interleukin 10 (IL10) mRNA, partial cds
11780. Bos taurus interleukin 2 receptor, gamma (severe combined immunodeficiency), mRNA (cDNA clone MGC:140400 IMAGE:8189539), complete cds
11783. Bos taurus nuclear factor, interleukin 3 regulated, mRNA (cDNA clone MGC:151767 IMAGE:8465438), complete cds
11784. Bos taurus interleukin 33, mRNA (cDNA clone MGC:142386 IMAGE:8199093), complete cds
11785. Bos taurus interleukin 6 (interferon, beta 2), mRNA (cDNA clone MGC:142657 IMAGE:8387083), complete cds
11786. Bos taurus interleukin 10 receptor, beta, mRNA (cDNA clone MGC:142388 IMAGE:8199367), complete cds
11787. Bos taurus interleukin 17 receptor C, mRNA (cDNA clone MGC:142728 IMAGE:8091080), complete cds
11790. Bos taurus interleukin 1 family, member 5 (delta), mRNA (cDNA clone MGC:143287 IMAGE:8232790), complete cds
11791. Bos taurus interleukin 1 receptor accessory protein, mRNA (cDNA clone MGC:143302 IMAGE:8232191), complete cds
11792. Bos taurus interleukin 4 receptor, mRNA (cDNA clone MGC:139101 IMAGE:8097098), complete cds
11794. Bos taurus interleukin 1 receptor, type II, mRNA (cDNA clone MGC:137383 IMAGE:8026471), complete cds
11795. Bos taurus interleukin enhancer binding factor 2, 45kDa, mRNA (cDNA clone MGC:134524 IMAGE:8055813), complete cds
11797. Bos taurus interleukin 18 (interferon-gamma-inducing factor), mRNA (cDNA clone MGC:128423 IMAGE:7950614), complete cds
11798. Bos taurus interleukin 11 receptor, alpha, mRNA (cDNA clone MGC:128492 IMAGE:7984593), complete cds
11799. Bos taurus interleukin 22 receptor, alpha 1, mRNA (cDNA clone MGC:127988 IMAGE:7956217), complete cds
11800. Bos taurus interleukin 8, mRNA (cDNA clone MGC:129139 IMAGE:8122341), complete cds
11880. Bos taurus interleukin 28B mRNA, complete cds
11910. Bos taurus interleukin 23 receptor (IL-23R) mRNA, complete cds
11997. Bos taurus interleukin 15 (IL15) mRNA, complete cds
12062. Bos taurus interleukin 22 (IL-22) mRNA, complete cds
12102. Bos taurus interleukin 17 (IL17) mRNA, complete cds
12104. Bos taurus interleukin 18 (IL18) mRNA, complete cds
12105. Bos taurus interleukin 13 (IL13) mRNA, complete cds
12106. Bos taurus interleukin 12 40kDa subunit (IL12p40) mRNA, complete cds
12107. Bos taurus interleukin 12 35kDa subunit (IL12p35) mRNA, complete cds
12108. Bos taurus interleukin 10 (IL10) mRNA, complete cds
12109. Bos taurus interleukin 8 (IL8) mRNA, complete cds
12110. Bos taurus interleukin 7 (IL7) mRNA, complete cds
12111. Bos taurus interleukin 6 (IL6) mRNA, complete cds
12112. Bos taurus interleukin 5 (IL5) mRNA, complete cds
12113. Bos taurus interleukin 4 (IL4) mRNA, complete cds
12114. Bos taurus interleukin 2 (IL2) mRNA, complete cds
12115. Bos taurus interleukin 1 beta (IL1b) mRNA, complete cds
12124. Bos taurus interleukin 16 (lymphocyte chemoattractant factor) (IL16), mRNA, complete cds
12195. Bos taurus interleukin 10 receptor, beta (IL10RB), mRNA, complete cds
12297. Bos taurus interleukin 17 receptor B (IL17RB), mRNA, complete cds
12300. Bos taurus interleukin 2 precursor, mRNA, complete cds
13018. Bos taurus interleukin 1 receptor associated kinase 3 (IRAK3), mRNA
13019. Bos taurus interleukin 21 receptor (IL21R), mRNA
13020. Bos taurus interleukin 17B (IL17B), mRNA
13021. Bos taurus interleukin 34 (IL34), mRNA
13022. Bos taurus interleukin 23 receptor (IL23R), mRNA
13023. Bos taurus nuclear factor, interleukin 3 regulated (NFIL3), mRNA
13024. Bos taurus interleukin 17 receptor C (IL17RC), mRNA
13025. Bos taurus interleukin 1 receptor accessory protein (IL1RAP), mRNA
13026. Bos taurus LIF interleukin 6 family cytokine (LIF), mRNA
13415. Bos taurus interleukin 1 receptor associated kinase 2 (IRAK2), mRNA
13418. Bos taurus interleukin 1 receptor associated kinase 1 (IRAK1), mRNA
13534. Bos taurus interleukin 1 receptor associated kinase 4 (IRAK4), mRNA
13542. Bos taurus interleukin 6 (interferon, beta 2) (LOC517016), mRNA
14238. Bos taurus interleukin 17 receptor D (IL17RD), mRNA
14239. Bos taurus interleukin 1 receptor like 2 (IL1RL2), mRNA
14240. Bos taurus interleukin 1 receptor like 1 (IL1RL1), mRNA
14241. Bos taurus interleukin 26 (IL26), mRNA
14242. Bos taurus interleukin 17F (IL17F), mRNA
14251. Bos taurus interleukin 31 receptor A (IL31RA), mRNA
14258. Bos taurus interleukin 27 (IL27), mRNA
14263. Bos taurus interleukin 1 receptor associated kinase 1 binding protein 1 (IRAK1BP1), mRNA
14264. Bos taurus interleukin 33 (IL33), mRNA
14775. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor associated kinase 4 (IRAK4), transcript variant X3, misc_RNA
14776. PREDICTED: Bos indicus x Bos taurus interleukin 15 (IL15), transcript variant X2, misc_RNA
14777. PREDICTED: Bos indicus x Bos taurus interleukin 15 (IL15), transcript variant X1, misc_RNA
14913. Bos taurus isolate L1 Dominette 01449 registration number 42190680 breed Hereford chromosome 8, ARS-UCD1.2, whole genome shotgun sequence
14916. PREDICTED: Bos taurus interleukin 13 receptor subunit alpha 2 (IL13RA2), transcript variant X3, mRNA
14917. PREDICTED: Bos taurus interleukin 13 receptor subunit alpha 2 (IL13RA2), transcript variant X2, mRNA
14918. PREDICTED: Bos taurus interleukin 13 receptor subunit alpha 2 (IL13RA2), transcript variant X1, mRNA
14919. PREDICTED: Bos taurus interleukin 1 receptor associated kinase 1 (IRAK1), transcript variant X4, mRNA
14920. PREDICTED: Bos taurus interleukin 1 receptor associated kinase 1 (IRAK1), transcript variant X3, mRNA
14921. PREDICTED: Bos taurus interleukin 1 receptor associated kinase 1 (IRAK1), transcript variant X2, mRNA
14922. PREDICTED: Bos taurus interleukin 1 receptor associated kinase 1 (IRAK1), transcript variant X1, mRNA
14923. PREDICTED: Bos taurus interleukin 22 receptor subunit alpha 2 (IL22RA2), transcript variant X3, misc_RNA
14924. PREDICTED: Bos taurus interleukin 22 receptor subunit alpha 2 (IL22RA2), transcript variant X2, misc_RNA
14925. PREDICTED: Bos taurus interleukin 1 receptor associated kinase 1 binding protein 1 (IRAK1BP1), transcript variant X1, mRNA
14926. PREDICTED: Bos taurus interleukin 20 receptor subunit alpha (IL20RA), transcript variant X4, mRNA
14927. PREDICTED: Bos taurus interleukin 20 receptor subunit alpha (IL20RA), transcript variant X3, mRNA
14928. PREDICTED: Bos taurus interleukin 20 receptor subunit alpha (IL20RA), transcript variant X2, mRNA
14929. PREDICTED: Bos taurus interleukin 20 receptor subunit alpha (IL20RA), transcript variant X1, mRNA
14930. PREDICTED: Bos taurus interleukin 11 receptor subunit alpha (IL11RA), transcript variant X6, mRNA
14931. PREDICTED: Bos taurus interleukin 11 receptor subunit alpha (IL11RA), transcript variant X5, mRNA
14932. PREDICTED: Bos taurus interleukin 11 receptor subunit alpha (IL11RA), transcript variant X4, mRNA
14933. PREDICTED: Bos taurus interleukin 11 receptor subunit alpha (IL11RA), transcript variant X3, mRNA
14934. PREDICTED: Bos taurus interleukin 11 receptor subunit alpha (IL11RA), transcript variant X2, mRNA
14935. PREDICTED: Bos taurus interleukin 11 receptor subunit alpha (IL11RA), transcript variant X1, mRNA
14936. PREDICTED: Bos taurus interleukin 33 (IL33), transcript variant X3, mRNA
14937. PREDICTED: Bos taurus interleukin 33 (IL33), transcript variant X2, mRNA
14938. PREDICTED: Bos taurus interleukin 33 (IL33), transcript variant X1, mRNA
14939. PREDICTED: Bos taurus nuclear factor, interleukin 3 regulated (NFIL3), transcript variant X3, mRNA
14940. PREDICTED: Bos taurus nuclear factor, interleukin 3 regulated (NFIL3), transcript variant X2, mRNA
14941. PREDICTED: Bos taurus nuclear factor, interleukin 3 regulated (NFIL3), transcript variant X1, mRNA
14942. PREDICTED: Bos taurus interleukin 27 receptor subunit alpha (IL27RA), transcript variant X2, mRNA
14943. PREDICTED: Bos taurus interleukin 27 receptor subunit alpha (IL27RA), transcript variant X1, mRNA
14944. PREDICTED: Bos taurus interleukin 17B (IL17B), transcript variant X13, mRNA
14945. PREDICTED: Bos taurus interleukin 17B (IL17B), transcript variant X12, mRNA
14946. PREDICTED: Bos taurus interleukin 17B (IL17B), transcript variant X11, mRNA
14947. PREDICTED: Bos taurus interleukin 17B (IL17B), transcript variant X10, mRNA
14948. PREDICTED: Bos taurus interleukin 17B (IL17B), transcript variant X9, mRNA
14949. PREDICTED: Bos taurus interleukin 17B (IL17B), transcript variant X8, mRNA
14950. PREDICTED: Bos taurus interleukin 17B (IL17B), transcript variant X7, mRNA
14951. PREDICTED: Bos taurus interleukin 17B (IL17B), transcript variant X6, mRNA
14952. PREDICTED: Bos taurus interleukin 17B (IL17B), transcript variant X5, mRNA
14953. PREDICTED: Bos taurus interleukin 17B (IL17B), transcript variant X4, mRNA
14954. PREDICTED: Bos taurus interleukin 17B (IL17B), transcript variant X3, mRNA
14955. PREDICTED: Bos taurus interleukin 17B (IL17B), transcript variant X2, mRNA
14956. PREDICTED: Bos taurus interleukin 17B (IL17B), transcript variant X1, mRNA
14957. PREDICTED: Bos taurus interleukin 12B (IL12B), transcript variant X2, mRNA
14958. PREDICTED: Bos taurus interleukin 12B (IL12B), transcript variant X1, mRNA
14959. PREDICTED: Bos taurus interleukin 17 receptor E like (IL17REL), transcript variant X7, misc_RNA
14960. PREDICTED: Bos taurus interleukin 26 (IL26), transcript variant X2, mRNA
14961. PREDICTED: Bos taurus interleukin 26 (IL26), transcript variant X1, mRNA
14962. PREDICTED: Bos taurus interleukin 1 receptor associated kinase 4 (IRAK4), transcript variant X10, mRNA
14963. PREDICTED: Bos taurus interleukin 1 receptor associated kinase 4 (IRAK4), transcript variant X9, mRNA
14964. PREDICTED: Bos taurus interleukin 1 receptor associated kinase 4 (IRAK4), transcript variant X8, mRNA
14965. PREDICTED: Bos taurus interleukin 1 receptor associated kinase 4 (IRAK4), transcript variant X7, mRNA
